,license,license_url,author,photo_url,original_url,file_path,card_number
0,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,University of Portsmouth Students' Union,https://www.flickr.com/photos/upsuportsmouth/2277729112/,https://drive.google.com/uc?id=1SZcikhuLpcQkq_ruMhYyCJiSzZ7r-XSz,63063,2
1,Attribution License,https://creativecommons.org/licenses/by/2.0/,Steve Bozak,https://www.flickr.com/photos/34513998@N02/5271041640/,https://drive.google.com/uc?id=1VjSvt6RqEa1wuVJ5ouzKh8ZOHvnNMpy2,63957,4
2,Attribution License,https://creativecommons.org/licenses/by/2.0/,Predrag Stojadinovic,https://www.flickr.com/photos/stojadinovicp/19293828903/,https://drive.google.com/uc?id=1SzbaDxflP-pEMcInuJWmL5v1_qoRF1w8,63925,5
3,Attribution License,https://creativecommons.org/licenses/by/2.0/,Bradley Griffin,https://www.flickr.com/photos/bwgtheatre/19070861295/,https://drive.google.com/uc?id=1aTrT6WLdb_OpgT74rh1P8WcYqeteSvhB,63201,7
4,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Africa Center,https://www.flickr.com/photos/africa_center/4523040965/,https://drive.google.com/uc?id=1RrzV4r20yDyuqPGXcO5ZHIu9F31wCWb2,63904,9
5,Attribution License,https://creativecommons.org/licenses/by/2.0/,Region Västerbotten,https://www.flickr.com/photos/regionvasterbotten/14167688030/,https://drive.google.com/uc?id=1ScoB8k6bQ4LtlBOpcC04Kt8JSndSYmxX,63895,10
6,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,livingdeath968,https://www.flickr.com/photos/142160283@N08/38378775674/,https://drive.google.com/uc?id=1YYod4rM-kUvi1UX9NRXhNCs_DAsXECnk,63165,13
7,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Kyle MacDonald,https://www.flickr.com/photos/kylemacdonald/2740312591/,https://drive.google.com/uc?id=1RCYgrSCb-9CBt9KNASBeUbn8-TqRKpB6,63882,16
8,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,Ken Nguyen Nguyen,https://www.flickr.com/photos/136793699@N05/34862154841/,https://drive.google.com/uc?id=1hTfnlq00K6ZGzFGDPbbjQW6MhZuTlI-v,63270,17
9,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Gerard Stolk,https://www.flickr.com/photos/gerardstolk/41955171485/,https://drive.google.com/uc?id=1XYvSCh-AGT1tp3S6dyMIu54ZfhCok1Qf,63135,20
